C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 860, took 39 cycles
Sample 861, took 38 cycles
Sample 862, took 37 cycles
Sample 863, took 30 cycles
Sample 864, took 39 cycles
Sample 865, took 39 cycles
Sample 866, took 38 cycles
Sample 867, took 36 cycles
Sample 868, took 35 cycles
Sample 869, took 40 cycles
Sample 870, took 37 cycles
Sample 871, took 38 cycles
Sample 872, took 38 cycles
Sample 873, took 36 cycles
Sample 874, took 37 cycles
Sample 875, took 38 cycles
Sample 876, took 36 cycles
Sample 877, took 39 cycles
Sample 878, took 38 cycles
Sample 879, took 39 cycles
Sample 880, took 38 cycles
Sample 881, took 39 cycles
Sample 882, took 37 cycles
Sample 883, took 37 cycles
Sample 884, took 39 cycles
Sample 885, took 37 cycles
Sample 886, took 37 cycles
Sample 887, took 37 cycles
Sample 888, took 36 cycles
Sample 889, took 39 cycles
Sample 890, took 39 cycles
Sample 891, took 36 cycles
Sample 892, took 38 cycles
Sample 893, took 38 cycles
Sample 894, took 37 cycles
Sample 895, took 39 cycles
Sample 896, took 37 cycles
Sample 897, took 37 cycles
Sample 898, took 38 cycles
Sample 899, took 39 cycles
Sample 900, took 38 cycles
Sample 901, took 37 cycles
Sample 902, took 39 cycles
Sample 903, took 37 cycles
Sample 904, took 37 cycles
Sample 905, took 39 cycles
Sample 906, took 37 cycles
Sample 907, took 38 cycles
Sample 908, took 38 cycles
Sample 909, took 39 cycles
Sample 910, took 37 cycles
Sample 911, took 34 cycles
Sample 912, took 41 cycles
Sample 913, took 38 cycles
Sample 914, took 37 cycles
Sample 915, took 38 cycles
Sample 916, took 38 cycles
Sample 917, took 39 cycles
Sample 918, took 38 cycles
Sample 919, took 37 cycles
Sample 920, took 33 cycles
Sample 921, took 35 cycles
Sample 922, took 37 cycles
Sample 923, took 39 cycles
Sample 924, took 36 cycles
Sample 925, took 37 cycles
Sample 926, took 33 cycles
Sample 927, took 36 cycles
Sample 928, took 38 cycles
Sample 929, took 36 cycles
Sample 930, took 39 cycles
Sample 931, took 36 cycles
Sample 932, took 38 cycles
Sample 933, took 37 cycles
Sample 934, took 40 cycles
Sample 935, took 38 cycles
Sample 936, took 34 cycles
Sample 937, took 39 cycles
Sample 938, took 37 cycles
Sample 939, took 37 cycles
Sample 940, took 40 cycles
Sample 941, took 35 cycles
Sample 942, took 39 cycles
Sample 943, took 40 cycles
Sample 944, took 39 cycles
Sample 945, took 35 cycles
Sample 946, took 39 cycles
Sample 947, took 39 cycles
Sample 948, took 39 cycles
Sample 949, took 36 cycles
Sample 950, took 37 cycles
Sample 951, took 35 cycles
Sample 952, took 36 cycles
Sample 953, took 39 cycles
Sample 954, took 36 cycles
Sample 955, took 36 cycles
Sample 956, took 37 cycles
Sample 957, took 36 cycles
Sample 958, took 35 cycles
Sample 959, took 37 cycles
Sample 960, took 37 cycles
Sample 961, took 38 cycles
Sample 962, took 39 cycles
Sample 963, took 39 cycles
Sample 964, took 37 cycles
Sample 965, took 37 cycles
Sample 966, took 37 cycles
Sample 967, took 36 cycles
Sample 968, took 34 cycles
Sample 969, took 38 cycles
Sample 970, took 37 cycles
Sample 971, took 37 cycles
Sample 972, took 38 cycles
Sample 973, took 37 cycles
Sample 974, took 39 cycles
Sample 975, took 38 cycles
Sample 976, took 38 cycles
Sample 977, took 35 cycles
